Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Almería,Mantenimiento de vehículos,22.0,BASICO
AMBOS SEXOS,Almería,26 VIDRIO Y CERÁMICA,0.0,BASICO
AMBOS SEXOS,Almería,Vidriería y alfarería,0.0,BASICO
AMBOS SEXOS,Cádiz,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.0,BASICO
AMBOS SEXOS,Cádiz,Acceso y Conservación en Instalaciones Deportivas,0.0,BASICO
AMBOS SEXOS,Cádiz,02 ADMINISTRACIÓN Y GESTIÓN,189.0,BASICO
AMBOS SEXOS,Cádiz,Servicios administrativos,189.0,BASICO
AMBOS SEXOS,Cádiz,03 AGRARIA,50.0,BASICO
AMBOS SEXOS,Cádiz,Actividades agropecuarias,0.0,BASICO
AMBOS SEXOS,Cádiz,Agro-jardinería y composiciones florales,47.0,BASICO
AMBOS SEXOS,Cádiz,Aprovechamientos forestales,3.0,BASICO
AMBOS SEXOS,Cádiz,04 ARTES GRÁFICAS,0.0,BASICO
AMBOS SEXOS,Cádiz,Artes gráficas,0.0,BASICO
AMBOS SEXOS,Cádiz,06 COMERCIO Y MARKETING,13.0,BASICO
AMBOS SEXOS,Cádiz,Servicios comerciales,13.0,BASICO
AMBOS SEXOS,Cádiz,07 EDIFICACIÓN Y OBRA CIVIL,16.0,BASICO
AMBOS SEXOS,Cádiz,Reforma y mantenimiento de edificios,16.0,BASICO
AMBOS SEXOS,Cádiz,08 ELECTRICIDAD Y ELECTRÓNICA,63.0,BASICO
AMBOS SEXOS,Cádiz,Electricidad y electrónica,63.0,BASICO
AMBOS SEXOS,Cádiz,Instalaciones electrotécnicas y mecánica,0.0,BASICO
AMBOS SEXOS,Cádiz,10 FABRICACIÓN MECÁNICA,55.0,BASICO
AMBOS SEXOS,Cádiz,Fabricación de elementos metálicos,0.0,BASICO
AMBOS SEXOS,Cádiz,Fabricación y montaje,55.0,BASICO
AMBOS SEXOS,Cádiz,11 HOSTELERÍA Y TURISMO,51.0,BASICO
AMBOS SEXOS,Cádiz,Actividades de panadería y pastelería,0.0,BASICO
AMBOS SEXOS,Cádiz,Alojamiento y lavandería,10.0,BASICO
AMBOS SEXOS,Cádiz,Cocina y restauración,41.0,BASICO
