Sexo;Comunidad autónoma/provincia (1);Ciclo formativo (2);Total
AMBOS SEXOS;Almería;18 MADERA, MUEBLE Y CORCHO;104
AMBOS SEXOS;Almería;Carpintería y mueble;35
AMBOS SEXOS;Almería;Instalación y amueblamiento;69
AMBOS SEXOS;Almería;19 MARÍTIMO-PESQUERA;84
AMBOS SEXOS;Cádiz;Cultivos acuícolas;12
AMBOS SEXOS;Cádiz;Mantenimiento y control de la maquinaria de buques y embarcaciones;24
AMBOS SEXOS;Cádiz;Navegación y pesca de litoral;15
AMBOS SEXOS;Cádiz;Operaciones subacuáticas y hiperbáricas;33
AMBOS SEXOS;Cádiz;20 QUÍMICA;164
AMBOS SEXOS;Cádiz;Operaciones de laboratorio;143
AMBOS SEXOS;Cádiz;Planta química;21
AMBOS SEXOS;Cádiz;21 SANIDAD;6.189
AMBOS SEXOS;Cádiz;Cuidados auxiliares de enfermería (LOGSE);4.128
AMBOS SEXOS;Cádiz;Emergencias sanitarias;684
AMBOS SEXOS;Cádiz;Farmacia y parafarmacia;1.377
AMBOS SEXOS;Cádiz;22 SEGURIDAD Y MEDIO AMBIENTE;17
AMBOS SEXOS;Cádiz;Emergencias y protección civil;17
AMBOS SEXOS;Cádiz;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;1.315
AMBOS SEXOS;Cádiz;Atención a personas en situación de dependencia;1.315
AMBOS SEXOS;Cádiz;24 TEXTIL, CONFECCIÓN Y PIEL;50
AMBOS SEXOS;Cádiz;Calzado y complementos de moda;3
AMBOS SEXOS;Cádiz;Confección y moda;47
AMBOS SEXOS;Cádiz;Fabricación y ennoblecimiento de productos textiles;0
AMBOS SEXOS;Cádiz;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;1.267
AMBOS SEXOS;Cádiz;Carrocería;278
AMBOS SEXOS;Cádiz;Conducción de vehículos de transporte por carretera;0
AMBOS SEXOS;Cádiz;Electromecánica de maquinaria;10
AMBOS SEXOS;Cádiz;Electromecánica de vehículos automóviles;947
AMBOS SEXOS;Cádiz;Mantenimiento de material rodante ferroviario;11
AMBOS SEXOS;Cádiz;Mantenimiento de embarcaciones de recreo;0
AMBOS SEXOS;Cádiz;Mantenimiento de estructuras de madera y mobiliario de embarcaciones;0
AMBOS SEXOS;Cádiz;Montaje de estructuras e instalación de sistemas aeronáuticos;21
AMBOS SEXOS;Cádiz;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Cádiz;Fabricación de productos cerámicos;0
AMBOS SEXOS;Cádiz;Total de alumnado que terminó;1.524
AMBOS SEXOS;Cádiz;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;98
AMBOS SEXOS;Cádiz;Guía en el medio natural y de tiempo libre;98
AMBOS SEXOS;Cádiz;Actividades ecuestres;0
AMBOS SEXOS;Cádiz;02 ADMINISTRACIÓN Y GESTIÓN;191
AMBOS SEXOS;Cádiz;Gestión administrativa;191
AMBOS SEXOS;Cádiz;Administración y gestión (n.d.);0
AMBOS SEXOS;Cádiz;03 AGRARIA;128
AMBOS SEXOS;Cádiz;Aprovechamiento y conservación del medio natural;26
AMBOS SEXOS;Cádiz;Jardinería y floristería;26
AMBOS SEXOS;Cádiz;Producción agroecológica;42
AMBOS SEXOS;Cádiz;Producción agropecuaria;34
AMBOS SEXOS;Cádiz;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Cádiz;Impresión gráfica;0
AMBOS SEXOS;Cádiz;Postimpresión y acabados gráficos;0
AMBOS SEXOS;Cádiz;Preimpresión digital;0
AMBOS SEXOS;Cádiz;06 COMERCIO Y MARKETING;47
AMBOS SEXOS;Cádiz;Actividades comerciales;47
AMBOS SEXOS;Córdoba;Comercialización de productos alimentarios;0
AMBOS SEXOS;Córdoba;07 EDIFICACIÓN Y OBRA CIVIL;4
AMBOS SEXOS;Córdoba;Construcción;0
AMBOS SEXOS;Córdoba;Obras de interior, decoración y rehabilitación;4
AMBOS SEXOS;Córdoba;08 ELECTRICIDAD Y ELECTRÓNICA;59
AMBOS SEXOS;Córdoba;Instalaciones de telecomunicaciones;14
AMBOS SEXOS;Córdoba;Instalaciones eléctricas y automáticas;45
AMBOS SEXOS;Córdoba;09 ENERGÍA Y AGUA;0
AMBOS SEXOS;Córdoba;Redes y estaciones de tratamiento de agua;0
AMBOS SEXOS;Córdoba;10 FABRICACIÓN MECÁNICA;25
AMBOS SEXOS;Córdoba;Conformado por moldeo de metales y polímeros;0
AMBOS SEXOS;Córdoba;Joyería (LOGSE);0
AMBOS SEXOS;Córdoba;Mecanizado;5
AMBOS SEXOS;Córdoba;Soldadura y calderería;20
AMBOS SEXOS;Córdoba;11 HOSTELERÍA Y TURISMO;45
AMBOS SEXOS;Córdoba;Cocina y gastronomía;35
AMBOS SEXOS;Córdoba;Servicios de restauración;10
AMBOS SEXOS;Córdoba;12 IMAGEN PERSONAL;64
AMBOS SEXOS;Córdoba;Estética y belleza;17
AMBOS SEXOS;Córdoba;Peluquería y cosmética capilar;47
AMBOS SEXOS;Córdoba;13 IMAGEN Y SONIDO;10
AMBOS SEXOS;Córdoba;Vídeo, disc-jockey y sonido;10
AMBOS SEXOS;Córdoba;14 INDUSTRIAS ALIMENTARIAS;13
AMBOS SEXOS;Córdoba;Aceites de oliva y vinos;0
AMBOS SEXOS;Córdoba;Elaboración de productos alimenticios;0
AMBOS SEXOS;Córdoba;Panadería, repostería y confitería;13
AMBOS SEXOS;Córdoba;15 INDUSTRIAS EXTRACTIVAS;4
AMBOS SEXOS;Córdoba;Excavaciones y sondeos;4
AMBOS SEXOS;Córdoba;Piedra natural;0
AMBOS SEXOS;Córdoba;16 INFORMÁTICA Y COMUNICACIONES;149
AMBOS SEXOS;Córdoba;Sistemas microinformáticos y redes;149
AMBOS SEXOS;Córdoba;17 INSTALACIÓN Y MANTENIMIENTO;27
AMBOS SEXOS;Córdoba;Instalaciones de producción de calor;7
AMBOS SEXOS;Córdoba;Instalaciones frigoríficas y de climatización;8
AMBOS SEXOS;Córdoba;Mantenimiento electromecánico;12
AMBOS SEXOS;Córdoba;18 MADERA, MUEBLE Y CORCHO;8
AMBOS SEXOS;Córdoba;Carpintería y mueble;8
AMBOS SEXOS;Córdoba;Instalación y amueblamiento;0
AMBOS SEXOS;Córdoba;19 MARÍTIMO-PESQUERA;13
AMBOS SEXOS;Córdoba;Cultivos acuícolas;0
AMBOS SEXOS;Córdoba;Mantenimiento y control de la maquinaria de buques y embarcaciones;8
AMBOS SEXOS;Córdoba;Navegación y pesca de litoral;5
AMBOS SEXOS;Córdoba;Operaciones subacuáticas y hiperbáricas;0
AMBOS SEXOS;Córdoba;20 QUÍMICA;18
AMBOS SEXOS;Córdoba;Operaciones de laboratorio;18
AMBOS SEXOS;Córdoba;Planta química;0
AMBOS SEXOS;Córdoba;21 SANIDAD;411
AMBOS SEXOS;Córdoba;Cuidados auxiliares de enfermería (LOGSE);277
AMBOS SEXOS;Granada;Emergencias sanitarias;40
AMBOS SEXOS;Granada;Farmacia y parafarmacia;94
AMBOS SEXOS;Granada;22 SEGURIDAD Y MEDIO AMBIENTE;0
AMBOS SEXOS;Granada;Emergencias y protección civil;0
AMBOS SEXOS;Granada;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;110
AMBOS SEXOS;Granada;Atención a personas en situación de dependencia;110
AMBOS SEXOS;Granada;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Granada;Calzado y complementos de moda;0
AMBOS SEXOS;Granada;Confección y moda;0
