Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Almería,Servicios de restauración,224.0,MEDIO
AMBOS SEXOS,Almería,12 IMAGEN PERSONAL,1.056,MEDIO
AMBOS SEXOS,Almería,Estética y belleza,517.0,MEDIO
AMBOS SEXOS,Almería,Peluquería y cosmética capilar,539.0,MEDIO
AMBOS SEXOS,Almería,13 IMAGEN Y SONIDO,169.0,MEDIO
AMBOS SEXOS,Almería,"Vídeo, disc-jockey y sonido",169.0,MEDIO
AMBOS SEXOS,Almería,14 INDUSTRIAS ALIMENTARIAS,192.0,MEDIO
AMBOS SEXOS,Almería,Aceites de oliva y vinos,38.0,MEDIO
AMBOS SEXOS,Almería,Elaboración de productos alimenticios,52.0,MEDIO
AMBOS SEXOS,Almería,"Panadería, repostería y confitería",102.0,MEDIO
AMBOS SEXOS,Almería,15 INDUSTRIAS EXTRACTIVAS,7.0,MEDIO
AMBOS SEXOS,Almería,Excavaciones y sondeos,7.0,MEDIO
AMBOS SEXOS,Almería,Piedra natural,0.0,MEDIO
AMBOS SEXOS,Almería,16 INFORMÁTICA Y COMUNICACIONES,1.911,MEDIO
AMBOS SEXOS,Almería,Sistemas microinformáticos y redes,1.911,MEDIO
AMBOS SEXOS,Almería,17 INSTALACIÓN Y MANTENIMIENTO,531.0,MEDIO
AMBOS SEXOS,Almería,Instalaciones de producción de calor,84.0,MEDIO
AMBOS SEXOS,Almería,Instalaciones frigoríficas y de climatización,301.0,MEDIO
AMBOS SEXOS,Almería,Mantenimiento electromecánico,146.0,MEDIO
AMBOS SEXOS,Almería,"18 MADERA, MUEBLE Y CORCHO",104.0,MEDIO
AMBOS SEXOS,Almería,Carpintería y mueble,35.0,MEDIO
AMBOS SEXOS,Almería,Instalación y amueblamiento,69.0,MEDIO
AMBOS SEXOS,Almería,19 MARÍTIMO-PESQUERA,84.0,MEDIO
AMBOS SEXOS,Cádiz,Cultivos acuícolas,12.0,MEDIO
AMBOS SEXOS,Cádiz,Mantenimiento y control de la maquinaria de buques y embarcaciones,24.0,MEDIO
AMBOS SEXOS,Cádiz,Navegación y pesca de litoral,15.0,MEDIO
AMBOS SEXOS,Cádiz,Operaciones subacuáticas y hiperbáricas,33.0,MEDIO
AMBOS SEXOS,Cádiz,20 QUÍMICA,164.0,MEDIO
AMBOS SEXOS,Cádiz,Operaciones de laboratorio,143.0,MEDIO
AMBOS SEXOS,Cádiz,Planta química,21.0,MEDIO
AMBOS SEXOS,Cádiz,21 SANIDAD,6.189,MEDIO
AMBOS SEXOS,Cádiz,Cuidados auxiliares de enfermería (LOGSE),4.128,MEDIO
AMBOS SEXOS,Cádiz,Emergencias sanitarias,684.0,MEDIO
AMBOS SEXOS,Cádiz,Farmacia y parafarmacia,1.377,MEDIO
AMBOS SEXOS,Cádiz,22 SEGURIDAD Y MEDIO AMBIENTE,17.0,MEDIO
AMBOS SEXOS,Cádiz,Emergencias y protección civil,17.0,MEDIO
AMBOS SEXOS,Cádiz,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,1.315,MEDIO
AMBOS SEXOS,Cádiz,Atención a personas en situación de dependencia,1.315,MEDIO
AMBOS SEXOS,Cádiz,"24 TEXTIL, CONFECCIÓN Y PIEL",50.0,MEDIO
AMBOS SEXOS,Cádiz,Calzado y complementos de moda,3.0,MEDIO
AMBOS SEXOS,Cádiz,Confección y moda,47.0,MEDIO
AMBOS SEXOS,Cádiz,Fabricación y ennoblecimiento de productos textiles,0.0,MEDIO
AMBOS SEXOS,Cádiz,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,1.267,MEDIO
AMBOS SEXOS,Cádiz,Carrocería,278.0,MEDIO
AMBOS SEXOS,Cádiz,Conducción de vehículos de transporte por carretera,0.0,MEDIO
AMBOS SEXOS,Cádiz,Electromecánica de maquinaria,10.0,MEDIO
AMBOS SEXOS,Cádiz,Electromecánica de vehículos automóviles,947.0,MEDIO
AMBOS SEXOS,Cádiz,Mantenimiento de material rodante ferroviario,11.0,MEDIO
AMBOS SEXOS,Cádiz,Mantenimiento de embarcaciones de recreo,0.0,MEDIO
AMBOS SEXOS,Cádiz,Mantenimiento de estructuras de madera y mobiliario de embarcaciones,0.0,MEDIO
AMBOS SEXOS,Cádiz,Montaje de estructuras e instalación de sistemas aeronáuticos,21.0,MEDIO
AMBOS SEXOS,Cádiz,26 VIDRIO Y CERÁMICA,0.0,MEDIO
AMBOS SEXOS,Cádiz,Fabricación de productos cerámicos,0.0,MEDIO
AMBOS SEXOS,Cádiz,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,98.0,MEDIO
AMBOS SEXOS,Cádiz,Guía en el medio natural y de tiempo libre,98.0,MEDIO
AMBOS SEXOS,Cádiz,Actividades ecuestres,0.0,MEDIO
