Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Castilla La Mancha,INDUSTRIAS EXTRACTIVAS,,MEDIO
AMBOS SEXOS,Castilla La Mancha,INFORMÁTICA Y COMUNICACIONES,93.1,MEDIO
AMBOS SEXOS,Castilla La Mancha,INSTALACIÓN Y MANTENIMIENTO,97.7,MEDIO
AMBOS SEXOS,Castilla La Mancha,"MADERA, MUEBLE Y CORCHO",89.3,MEDIO
AMBOS SEXOS,Castilla La Mancha,MARÍTIMO-PESQUERA,,MEDIO
AMBOS SEXOS,Castilla La Mancha,QUÍMICA,95.5,MEDIO
AMBOS SEXOS,Castilla La Mancha,SANIDAD,97.9,MEDIO
AMBOS SEXOS,Castilla La Mancha,SEGURIDAD Y MEDIO AMBIENTE,97.6,MEDIO
AMBOS SEXOS,Castilla La Mancha,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,96.1,MEDIO
AMBOS SEXOS,Castilla La Mancha,"TEXTIL, CONFECCIÓN Y PIEL",98.6,MEDIO
AMBOS SEXOS,Castilla La Mancha,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,94.1,MEDIO
AMBOS SEXOS,Castilla La Mancha,VIDRIO Y CERÁMICA,,MEDIO
AMBOS SEXOS,Comunitat Valenciana,ACTIVIDADES FÍSICAS Y DEPORTIVAS,86.6,MEDIO
AMBOS SEXOS,Comunitat Valenciana,ADMINISTRACIÓN Y GESTIÓN,81.8,MEDIO
AMBOS SEXOS,Comunitat Valenciana,AGRARIA,79.3,MEDIO
AMBOS SEXOS,Comunitat Valenciana,ARTES GRÁFICAS,82.6,MEDIO
AMBOS SEXOS,Comunitat Valenciana,ARTES Y ARTESANÍAS,,MEDIO
AMBOS SEXOS,Comunitat Valenciana,COMERCIO Y MARKETING,84.1,MEDIO
AMBOS SEXOS,Comunitat Valenciana,EDIFICACIÓN Y OBRA CIVIL,85.0,MEDIO
AMBOS SEXOS,Comunitat Valenciana,ELECTRICIDAD Y ELECTRÓNICA,73.2,MEDIO
AMBOS SEXOS,Comunitat Valenciana,ENERGÍA Y AGUA,74.1,MEDIO
AMBOS SEXOS,Comunitat Valenciana,FABRICACIÓN MECÁNICA,72.5,MEDIO
AMBOS SEXOS,Comunitat Valenciana,HOSTELERÍA Y TURISMO,74.0,MEDIO
AMBOS SEXOS,Comunitat Valenciana,IMAGEN PERSONAL,80.8,MEDIO
AMBOS SEXOS,Comunitat Valenciana,IMAGEN Y SONIDO,78.7,MEDIO
AMBOS SEXOS,Comunitat Valenciana,INDUSTRIAS ALIMENTARIAS,77.8,MEDIO
AMBOS SEXOS,Comunitat Valenciana,INDUSTRIAS EXTRACTIVAS,,MEDIO
AMBOS SEXOS,Comunitat Valenciana,INFORMÁTICA Y COMUNICACIONES,82.2,MEDIO
AMBOS SEXOS,Comunitat Valenciana,INSTALACIÓN Y MANTENIMIENTO,70.0,MEDIO
