Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Cantabria,ADMINISTRACIÓN Y GESTIÓN,92.0,BASICO
AMBOS SEXOS,Cantabria,AGRARIA,87.9,BASICO
AMBOS SEXOS,Cantabria,ARTES GRÁFICAS,96.1,BASICO
AMBOS SEXOS,Cantabria,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Cantabria,COMERCIO Y MARKETING,87.6,BASICO
AMBOS SEXOS,Cantabria,EDIFICACIÓN Y OBRA CIVIL,100.0,BASICO
AMBOS SEXOS,Cantabria,ELECTRICIDAD Y ELECTRÓNICA,78.1,BASICO
AMBOS SEXOS,Cantabria,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Cantabria,FABRICACIÓN MECÁNICA,71.6,BASICO
AMBOS SEXOS,Cantabria,HOSTELERÍA Y TURISMO,78.8,BASICO
AMBOS SEXOS,Cantabria,IMAGEN PERSONAL,80.8,BASICO
AMBOS SEXOS,Cantabria,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Cantabria,INDUSTRIAS ALIMENTARIAS,72.0,BASICO
AMBOS SEXOS,Cantabria,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Cantabria,INFORMÁTICA Y COMUNICACIONES,92.4,BASICO
AMBOS SEXOS,Cantabria,INSTALACIÓN Y MANTENIMIENTO,,BASICO
AMBOS SEXOS,Cantabria,"MADERA, MUEBLE Y CORCHO",86.4,BASICO
AMBOS SEXOS,Cantabria,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Cantabria,QUÍMICA,,BASICO
AMBOS SEXOS,Cantabria,SANIDAD,,BASICO
AMBOS SEXOS,Cantabria,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Cantabria,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Cantabria,"TEXTIL, CONFECCIÓN Y PIEL",88.0,BASICO
AMBOS SEXOS,Cantabria,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,71.2,BASICO
AMBOS SEXOS,Cantabria,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Castilla y León,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
AMBOS SEXOS,Castilla y León,ADMINISTRACIÓN Y GESTIÓN,67.8,BASICO
AMBOS SEXOS,Castilla y León,AGRARIA,63.3,BASICO
AMBOS SEXOS,Castilla y León,ARTES GRÁFICAS,,BASICO
AMBOS SEXOS,Castilla y León,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Castilla y León,COMERCIO Y MARKETING,70.5,BASICO
AMBOS SEXOS,Castilla y León,EDIFICACIÓN Y OBRA CIVIL,75.3,BASICO
AMBOS SEXOS,Castilla y León,ELECTRICIDAD Y ELECTRÓNICA,66.2,BASICO
AMBOS SEXOS,Castilla y León,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Castilla y León,FABRICACIÓN MECÁNICA,65.4,BASICO
AMBOS SEXOS,Castilla y León,HOSTELERÍA Y TURISMO,64.5,BASICO
AMBOS SEXOS,Castilla y León,IMAGEN PERSONAL,63.1,BASICO
AMBOS SEXOS,Castilla y León,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Castilla y León,INDUSTRIAS ALIMENTARIAS,54.9,BASICO
AMBOS SEXOS,Castilla y León,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Castilla y León,INFORMÁTICA Y COMUNICACIONES,66.1,BASICO
AMBOS SEXOS,Castilla y León,INSTALACIÓN Y MANTENIMIENTO,,BASICO
AMBOS SEXOS,Castilla y León,"MADERA, MUEBLE Y CORCHO",70.4,BASICO
AMBOS SEXOS,Castilla y León,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Castilla y León,QUÍMICA,,BASICO
AMBOS SEXOS,Castilla y León,SANIDAD,,BASICO
AMBOS SEXOS,Castilla y León,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Castilla y León,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Castilla y León,"TEXTIL, CONFECCIÓN Y PIEL",67.6,BASICO
AMBOS SEXOS,Castilla y León,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,66.3,BASICO
AMBOS SEXOS,Castilla y León,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Castilla La Mancha,ACTIVIDADES FÍSICAS Y DEPORTIVAS,72.5,BASICO
AMBOS SEXOS,Castilla La Mancha,ADMINISTRACIÓN Y GESTIÓN,77.8,BASICO
AMBOS SEXOS,Castilla La Mancha,AGRARIA,73.8,BASICO
AMBOS SEXOS,Castilla La Mancha,ARTES GRÁFICAS,67.6,BASICO
AMBOS SEXOS,Castilla La Mancha,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Castilla La Mancha,COMERCIO Y MARKETING,72.3,BASICO
AMBOS SEXOS,Castilla La Mancha,EDIFICACIÓN Y OBRA CIVIL,,BASICO
AMBOS SEXOS,Castilla La Mancha,ELECTRICIDAD Y ELECTRÓNICA,72.7,BASICO
AMBOS SEXOS,Castilla La Mancha,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Castilla La Mancha,FABRICACIÓN MECÁNICA,69.3,BASICO
AMBOS SEXOS,Castilla La Mancha,HOSTELERÍA Y TURISMO,75.5,BASICO
AMBOS SEXOS,Castilla La Mancha,IMAGEN PERSONAL,75.9,BASICO
AMBOS SEXOS,Castilla La Mancha,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Castilla La Mancha,INDUSTRIAS ALIMENTARIAS,76.7,BASICO
AMBOS SEXOS,Castilla La Mancha,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Castilla La Mancha,INFORMÁTICA Y COMUNICACIONES,74.8,BASICO
AMBOS SEXOS,Castilla La Mancha,INSTALACIÓN Y MANTENIMIENTO,70.0,BASICO
AMBOS SEXOS,Castilla La Mancha,"MADERA, MUEBLE Y CORCHO",89.2,BASICO
AMBOS SEXOS,Castilla La Mancha,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Castilla La Mancha,QUÍMICA,,BASICO
AMBOS SEXOS,Castilla La Mancha,SANIDAD,,BASICO
AMBOS SEXOS,Castilla La Mancha,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Castilla La Mancha,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Castilla La Mancha,"TEXTIL, CONFECCIÓN Y PIEL",61.9,BASICO
AMBOS SEXOS,Castilla La Mancha,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,67.9,BASICO
AMBOS SEXOS,Castilla La Mancha,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Comunitat Valenciana,ACTIVIDADES FÍSICAS Y DEPORTIVAS,86.8,BASICO
AMBOS SEXOS,Comunitat Valenciana,ADMINISTRACIÓN Y GESTIÓN,79.8,BASICO
AMBOS SEXOS,Comunitat Valenciana,AGRARIA,77.4,BASICO
AMBOS SEXOS,Comunitat Valenciana,ARTES GRÁFICAS,78.0,BASICO
AMBOS SEXOS,Comunitat Valenciana,ARTES Y ARTESANÍAS,,BASICO
