Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Ceuta,INSTALACIÓN Y MANTENIMIENTO,57.5,BASICO
AMBOS SEXOS,Ceuta,"MADERA, MUEBLE Y CORCHO",,BASICO
AMBOS SEXOS,Ceuta,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Ceuta,QUÍMICA,,BASICO
AMBOS SEXOS,Ceuta,SANIDAD,,BASICO
AMBOS SEXOS,Ceuta,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Ceuta,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Ceuta,"TEXTIL, CONFECCIÓN Y PIEL",,BASICO
AMBOS SEXOS,Ceuta,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,30.9,BASICO
AMBOS SEXOS,Ceuta,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Melilla,ACTIVIDADES FÍSICAS Y DEPORTIVAS,64.0,BASICO
AMBOS SEXOS,Melilla,ADMINISTRACIÓN Y GESTIÓN,59.1,BASICO
AMBOS SEXOS,Melilla,AGRARIA,,BASICO
AMBOS SEXOS,Melilla,ARTES GRÁFICAS,86.9,BASICO
AMBOS SEXOS,Melilla,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Melilla,COMERCIO Y MARKETING,56.8,BASICO
AMBOS SEXOS,Melilla,EDIFICACIÓN Y OBRA CIVIL,,BASICO
AMBOS SEXOS,Melilla,ELECTRICIDAD Y ELECTRÓNICA,36.6,BASICO
AMBOS SEXOS,Melilla,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Melilla,FABRICACIÓN MECÁNICA,58.3,BASICO
AMBOS SEXOS,Melilla,HOSTELERÍA Y TURISMO,57.1,BASICO
AMBOS SEXOS,Melilla,IMAGEN PERSONAL,59.2,BASICO
AMBOS SEXOS,Melilla,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Melilla,INDUSTRIAS ALIMENTARIAS,,BASICO
AMBOS SEXOS,Melilla,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Melilla,INFORMÁTICA Y COMUNICACIONES,63.4,BASICO
AMBOS SEXOS,Melilla,INSTALACIÓN Y MANTENIMIENTO,,BASICO
AMBOS SEXOS,Melilla,"MADERA, MUEBLE Y CORCHO",68.5,BASICO
AMBOS SEXOS,Melilla,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Melilla,QUÍMICA,,BASICO
AMBOS SEXOS,Melilla,SANIDAD,,BASICO
AMBOS SEXOS,Melilla,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Melilla,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Melilla,"TEXTIL, CONFECCIÓN Y PIEL",,BASICO
AMBOS SEXOS,Melilla,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,47.7,BASICO
AMBOS SEXOS,Melilla,VIDRIO Y CERÁMICA,,BASICO
Hombres,Andalucía,ACTIVIDADES FÍSICAS Y DEPORTIVAS,54.5,BASICO
Hombres,Andalucía,ADMINISTRACIÓN Y GESTIÓN,76.3,BASICO
Hombres,Andalucía,AGRARIA,75.5,BASICO
Hombres,Andalucía,ARTES GRÁFICAS,81.9,BASICO
Hombres,Andalucía,ARTES Y ARTESANÍAS,,BASICO
Hombres,Andalucía,COMERCIO Y MARKETING,73.5,BASICO
Hombres,Andalucía,EDIFICACIÓN Y OBRA CIVIL,67.0,BASICO
Hombres,Andalucía,ELECTRICIDAD Y ELECTRÓNICA,74.2,BASICO
Hombres,Andalucía,ENERGÍA Y AGUA,,BASICO
Hombres,Andalucía,FABRICACIÓN MECÁNICA,74.7,BASICO
Hombres,Andalucía,HOSTELERÍA Y TURISMO,75.3,BASICO
Hombres,Andalucía,IMAGEN PERSONAL,67.8,BASICO
Hombres,Andalucía,IMAGEN Y SONIDO,,BASICO
Hombres,Andalucía,INDUSTRIAS ALIMENTARIAS,83.1,BASICO
Hombres,Andalucía,INDUSTRIAS EXTRACTIVAS,,BASICO
Hombres,Andalucía,INFORMÁTICA Y COMUNICACIONES,75.3,BASICO
Hombres,Andalucía,INSTALACIÓN Y MANTENIMIENTO,,BASICO
Hombres,Andalucía,"MADERA, MUEBLE Y CORCHO",68.8,BASICO
Hombres,Andalucía,MARÍTIMO-PESQUERA,,BASICO
Hombres,Andalucía,QUÍMICA,,BASICO
Hombres,Andalucía,SANIDAD,,BASICO
Hombres,Andalucía,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
Hombres,Andalucía,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,76.2,BASICO
