Sexo;Comunidad autónoma/provincia;Ciclo formativo (1);Total
AMBOS SEXOS;Córdoba;Informática de oficina;36
AMBOS SEXOS;Córdoba;Informática y comunicaciones;53
AMBOS SEXOS;Córdoba;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Córdoba;Mantenimiento de viviendas;0
AMBOS SEXOS;Córdoba;18 MADERA, MUEBLE Y CORCHO;15
AMBOS SEXOS;Córdoba;Carpintería y mueble;15
AMBOS SEXOS;Córdoba;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Córdoba;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Córdoba;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;4
AMBOS SEXOS;Córdoba;Actividades domésticas y limpieza de edificios;4
AMBOS SEXOS;Córdoba;24 TEXTIL, CONFECCIÓN Y PIEL;5
AMBOS SEXOS;Córdoba;Arreglo y reparación de artículos textiles y de piel;5
AMBOS SEXOS;Córdoba;Tapicería y cortinaje;0
AMBOS SEXOS;Córdoba;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;28
AMBOS SEXOS;Córdoba;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;Córdoba;Mantenimiento de vehículos;28
AMBOS SEXOS;Córdoba;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Córdoba;Vidriería y alfarería;0
AMBOS SEXOS;Granada;00 TOTAL;451
AMBOS SEXOS;Granada;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
AMBOS SEXOS;Granada;Acceso y Conservación en Instalaciones Deportivas;0
AMBOS SEXOS;Granada;02 ADMINISTRACIÓN Y GESTIÓN;79
AMBOS SEXOS;Granada;Servicios administrativos;79
AMBOS SEXOS;Granada;03 AGRARIA;33
AMBOS SEXOS;Granada;Actividades agropecuarias;5
AMBOS SEXOS;Granada;Agro-jardinería y composiciones florales;22
AMBOS SEXOS;Granada;Aprovechamientos forestales;6
AMBOS SEXOS;Granada;04 ARTES GRÁFICAS;4
AMBOS SEXOS;Granada;Artes gráficas;4
