Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,Cádiz,Sistemas electrotécnicos y automatizados,401.0,SUPERIOR
AMBOS SEXOS,Cádiz,09 ENERGÍA Y AGUA,124.0,SUPERIOR
AMBOS SEXOS,Cádiz,Eficiencia energética y energía solar térmica,66.0,SUPERIOR
AMBOS SEXOS,Cádiz,Energías renovables,49.0,SUPERIOR
AMBOS SEXOS,Cádiz,Centrales eléctricas,0.0,SUPERIOR
AMBOS SEXOS,Cádiz,Gestión de agua,9.0,SUPERIOR
AMBOS SEXOS,Cádiz,10 FABRICACIÓN MECÁNICA,251.0,SUPERIOR
AMBOS SEXOS,Cádiz,Construcciones metálicas,81.0,SUPERIOR
AMBOS SEXOS,Cádiz,Diseño en fabricación mecánica,32.0,SUPERIOR
AMBOS SEXOS,Cádiz,Óptica de anteojería (LOGSE),19.0,SUPERIOR
AMBOS SEXOS,Cádiz,Programación de la producción en fabricación mecánica,108.0,SUPERIOR
AMBOS SEXOS,Cádiz,Programación de la producción en moldeo de metales y polímeros,11.0,SUPERIOR
AMBOS SEXOS,Cádiz,11 HOSTELERÍA Y TURISMO,1.288,SUPERIOR
AMBOS SEXOS,Cádiz,Agencias de viajes y gestión de eventos,197.0,SUPERIOR
AMBOS SEXOS,Cádiz,Dirección de cocina,351.0,SUPERIOR
AMBOS SEXOS,Cádiz,Dirección de servicios de restauración,100.0,SUPERIOR
AMBOS SEXOS,Cádiz,Gestión de alojamientos turísticos,286.0,SUPERIOR
AMBOS SEXOS,Cádiz,"Guía, información y asistencias turísticas",354.0,SUPERIOR
AMBOS SEXOS,Cádiz,12 IMAGEN PERSONAL,595.0,SUPERIOR
AMBOS SEXOS,Cádiz,Asesoría de imagen personal y corporativa,113.0,SUPERIOR
AMBOS SEXOS,Cádiz,Caracterización y maquillaje profesional,78.0,SUPERIOR
AMBOS SEXOS,Cádiz,Estética integral y bienestar,320.0,SUPERIOR
AMBOS SEXOS,Cádiz,Estilismo y dirección de peluquería,84.0,SUPERIOR
AMBOS SEXOS,Cádiz,Termalismo y bienestar,0.0,SUPERIOR
AMBOS SEXOS,Cádiz,13 IMAGEN Y SONIDO,1.048,SUPERIOR
AMBOS SEXOS,Cádiz,"Animaciones 3D, juegos y entornos interactivos",232.0,SUPERIOR
AMBOS SEXOS,Cádiz,"Iluminación, captación y tratamiento de Imagen",248.0,SUPERIOR
AMBOS SEXOS,Cádiz,Producción de audiovisuales y espectáculos,72.0,SUPERIOR
AMBOS SEXOS,Cádiz,Realización de proyectos de audiovisuales y espectáculos,287.0,SUPERIOR
AMBOS SEXOS,Cádiz,Sonido para audiovisuales y espectáculos,209.0,SUPERIOR
AMBOS SEXOS,Cádiz,Imagen y sonido sin distribuir (para centros extranjeros),0.0,SUPERIOR
AMBOS SEXOS,Cádiz,14 INDUSTRIAS ALIMENTARIAS,120.0,SUPERIOR
AMBOS SEXOS,Cádiz,Procesos y calidad en la industria alimentaria,79.0,SUPERIOR
AMBOS SEXOS,Cádiz,Vitivinicultura,41.0,SUPERIOR
AMBOS SEXOS,Cádiz,16 INFORMÁTICA Y COMUNICACIONES,2.497,SUPERIOR
AMBOS SEXOS,Cádiz,Administración de sistemas informáticos en red,803.0,SUPERIOR
AMBOS SEXOS,Cádiz,Desarrollo de aplicaciones multiplataforma,846.0,SUPERIOR
AMBOS SEXOS,Cádiz,Desarrollo de aplicaciones web,848.0,SUPERIOR
AMBOS SEXOS,Cádiz,Informatica y comunicaciones sin distribuir (para centros extranjeros),0.0,SUPERIOR
AMBOS SEXOS,Cádiz,17 INSTALACIÓN Y MANTENIMIENTO,296.0,SUPERIOR
AMBOS SEXOS,Cádiz,Desarrollo de proyectos de instalaciones térmicas y de fluidos,8.0,SUPERIOR
AMBOS SEXOS,Cádiz,Mantenimiento de instalaciones térmicas y de fluidos,87.0,SUPERIOR
AMBOS SEXOS,Cádiz,Mecatrónica industrial,201.0,SUPERIOR
AMBOS SEXOS,Cádiz,"18 MADERA, MUEBLE Y CORCHO",38.0,SUPERIOR
AMBOS SEXOS,Córdoba,Diseño y amueblamiento,38.0,SUPERIOR
AMBOS SEXOS,Córdoba,19 MARÍTIMO-PESQUERA,113.0,SUPERIOR
AMBOS SEXOS,Córdoba,Acuicultura,11.0,SUPERIOR
AMBOS SEXOS,Córdoba,Organización del mantenimiento de maquinaria de buques y embarcaciones,49.0,SUPERIOR
AMBOS SEXOS,Córdoba,Transporte marítimo y pesca de altura,53.0,SUPERIOR
AMBOS SEXOS,Córdoba,20 QUÍMICA,294.0,SUPERIOR
AMBOS SEXOS,Córdoba,Fabricación de Productos Farmaceuticos,24.0,SUPERIOR
AMBOS SEXOS,Córdoba,Laboratorio de análisis y de control de calidad,188.0,SUPERIOR
AMBOS SEXOS,Córdoba,Química industrial,82.0,SUPERIOR
AMBOS SEXOS,Córdoba,21 SANIDAD,6.08,SUPERIOR
AMBOS SEXOS,Córdoba,Anatomía patológica y citodiagnostico,805.0,SUPERIOR
AMBOS SEXOS,Córdoba,Audiología protésica,185.0,SUPERIOR
AMBOS SEXOS,Córdoba,Dietética (LOGSE),590.0,SUPERIOR
AMBOS SEXOS,Córdoba,Documentación y administración sanitaria,313.0,SUPERIOR
AMBOS SEXOS,Córdoba,Higiene bucodental,1.077,SUPERIOR
AMBOS SEXOS,Córdoba,Imagen para el diagnóstico y medicina nuclear,1.21,SUPERIOR
AMBOS SEXOS,Córdoba,Laboratorio clinico y biomédico,1.082,SUPERIOR
AMBOS SEXOS,Córdoba,Ortoprótesis y productos de apoyo,30.0,SUPERIOR
AMBOS SEXOS,Córdoba,Prótesis dentales,420.0,SUPERIOR
AMBOS SEXOS,Córdoba,Radioterampia y dosimetría,368.0,SUPERIOR
AMBOS SEXOS,Córdoba,22 SEGURIDAD Y MEDIO AMBIENTE,323.0,SUPERIOR
AMBOS SEXOS,Córdoba,Coordinación de emergencias y protección civil,0.0,SUPERIOR
AMBOS SEXOS,Córdoba,Educación y control ambiental,9.0,SUPERIOR
AMBOS SEXOS,Córdoba,Prevención de riesgos profesionales (LOGSE),149.0,SUPERIOR
AMBOS SEXOS,Córdoba,Química y salud ambiental,165.0,SUPERIOR
AMBOS SEXOS,Córdoba,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,4.242,SUPERIOR
AMBOS SEXOS,Córdoba,Animación sociocultural y turística,246.0,SUPERIOR
AMBOS SEXOS,Córdoba,Educación infantil,2.366,SUPERIOR
AMBOS SEXOS,Córdoba,Integración social,1.288,SUPERIOR
AMBOS SEXOS,Córdoba,Mediación comunicativa,256.0,SUPERIOR
AMBOS SEXOS,Córdoba,Promoción de igualdad de género,86.0,SUPERIOR
AMBOS SEXOS,Córdoba,"24 TEXTIL, CONFECCIÓN Y PIEL",35.0,SUPERIOR
AMBOS SEXOS,Córdoba,Diseño y producción de calzado y complementos,0.0,SUPERIOR
AMBOS SEXOS,Córdoba,Patronaje y moda,35.0,SUPERIOR
AMBOS SEXOS,Córdoba,Vestuario a medida y de espectáculos,0.0,SUPERIOR
AMBOS SEXOS,Córdoba,Diseño Técnico en Textil y Piel,0.0,SUPERIOR
AMBOS SEXOS,Córdoba,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,510.0,SUPERIOR
AMBOS SEXOS,Córdoba,Automoción,451.0,SUPERIOR
AMBOS SEXOS,Córdoba,Mantenimiento Aeromecánico de Aviones con Motor de Turbina,34.0,SUPERIOR
AMBOS SEXOS,Córdoba,Mantenimiento de Sistemas Electrónicos y Aviónicos en Aeronaves,25.0,SUPERIOR
AMBOS SEXOS,Córdoba,Mantenimiento Aeromecánico de Helicópteros con Motor de Pistón,0.0,SUPERIOR
AMBOS SEXOS,Córdoba,Mantenimiento Aeromecánico de Helicópteros con Motor de Turbina,0.0,SUPERIOR
AMBOS SEXOS,Córdoba,26 VIDRIO Y CERÁMICA,0.0,SUPERIOR
AMBOS SEXOS,Córdoba,Desarrollo y fabricación de productos cerámicos,0.0,SUPERIOR
AMBOS SEXOS,Córdoba,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,172.0,SUPERIOR
AMBOS SEXOS,Córdoba,Enseñanza y animación sociodeportiva,92.0,SUPERIOR
AMBOS SEXOS,Córdoba,Acondicionamiento físico,80.0,SUPERIOR
AMBOS SEXOS,Granada,02 ADMINISTRACIÓN Y GESTIÓN,239.0,SUPERIOR
AMBOS SEXOS,Granada,Administración y finanzas,231.0,SUPERIOR
AMBOS SEXOS,Granada,Asistencia a la dirección,8.0,SUPERIOR
AMBOS SEXOS,Granada,03 AGRARIA,116.0,SUPERIOR
AMBOS SEXOS,Granada,Ganadería y asistencia en sanidad animal,0.0,SUPERIOR
AMBOS SEXOS,Granada,Gestión forestal y del medio natural,12.0,SUPERIOR
AMBOS SEXOS,Granada,Paisajismo y medio rural,104.0,SUPERIOR
AMBOS SEXOS,Granada,04 ARTES GRÁFICAS,0.0,SUPERIOR
AMBOS SEXOS,Granada,Diseño y edición de publicaciones impresas y multimedia,0.0,SUPERIOR
AMBOS SEXOS,Granada,Diseño y gestión de la producción gráfica,0.0,SUPERIOR
AMBOS SEXOS,Granada,05 ARTES Y ARTESANÍAS,0.0,SUPERIOR
AMBOS SEXOS,Granada,Artista fallero y construcción de escenografías,0.0,SUPERIOR
AMBOS SEXOS,Granada,06 COMERCIO Y MARKETING,88.0,SUPERIOR
AMBOS SEXOS,Granada,Comercio internacional,40.0,SUPERIOR
AMBOS SEXOS,Granada,Gestión de ventas y espacios comerciales,18.0,SUPERIOR
AMBOS SEXOS,Granada,Marketing y publicidad,14.0,SUPERIOR
AMBOS SEXOS,Granada,Transporte y logística,16.0,SUPERIOR
AMBOS SEXOS,Granada,07 EDIFICACIÓN Y OBRA CIVIL,8.0,SUPERIOR
AMBOS SEXOS,Granada,Organización y control de obras de construcción,0.0,SUPERIOR
AMBOS SEXOS,Granada,Proyectos de edificación,5.0,SUPERIOR
AMBOS SEXOS,Granada,Proyectos de obra civil,3.0,SUPERIOR
AMBOS SEXOS,Granada,08 ELECTRICIDAD Y ELECTRÓNICA,39.0,SUPERIOR
AMBOS SEXOS,Granada,Automatización y robótica industrial,0.0,SUPERIOR
AMBOS SEXOS,Granada,Electromedicina clínica,0.0,SUPERIOR
AMBOS SEXOS,Granada,Mantenimiento electrónico,7.0,SUPERIOR
AMBOS SEXOS,Granada,Sistemas de telecomunicaciones e informáticos,14.0,SUPERIOR
AMBOS SEXOS,Granada,Sistemas electrotécnicos y automatizados,18.0,SUPERIOR
AMBOS SEXOS,Granada,09 ENERGÍA Y AGUA,0.0,SUPERIOR
AMBOS SEXOS,Granada,Eficiencia energética y energía solar térmica,0.0,SUPERIOR
AMBOS SEXOS,Granada,Energías renovables,0.0,SUPERIOR
AMBOS SEXOS,Granada,Centrales eléctricas,0.0,SUPERIOR
AMBOS SEXOS,Granada,Gestión de agua,0.0,SUPERIOR
AMBOS SEXOS,Granada,10 FABRICACIÓN MECÁNICA,0.0,SUPERIOR
AMBOS SEXOS,Granada,Construcciones metálicas,0.0,SUPERIOR
AMBOS SEXOS,Granada,Diseño en fabricación mecánica,0.0,SUPERIOR
AMBOS SEXOS,Granada,Óptica de anteojería (LOGSE),0.0,SUPERIOR
AMBOS SEXOS,Granada,Programación de la producción en fabricación mecánica,0.0,SUPERIOR
AMBOS SEXOS,Granada,Programación de la producción en moldeo de metales y polímeros,0.0,SUPERIOR
AMBOS SEXOS,Granada,11 HOSTELERÍA Y TURISMO,101.0,SUPERIOR
AMBOS SEXOS,Granada,Agencias de viajes y gestión de eventos,16.0,SUPERIOR
AMBOS SEXOS,Granada,Dirección de cocina,38.0,SUPERIOR
AMBOS SEXOS,Granada,Dirección de servicios de restauración,12.0,SUPERIOR
AMBOS SEXOS,Granada,Gestión de alojamientos turísticos,13.0,SUPERIOR
AMBOS SEXOS,Granada,"Guía, información y asistencias turísticas",22.0,SUPERIOR
AMBOS SEXOS,Granada,12 IMAGEN PERSONAL,27.0,SUPERIOR
AMBOS SEXOS,Granada,Asesoría de imagen personal y corporativa,0.0,SUPERIOR
