Nivel_Real,Nivel_Predicho,Correcto,Comunidad_Autonoma,Familia_Profesional,Sexo,Porcentaje
BASICO,BASICO,True,Andalucía,INSTALACIÓN Y MANTENIMIENTO,Hombres,82.0
SUPERIOR,SUPERIOR,True,Andalucía,"MADERA, MUEBLE Y CORCHO",Hombres,80.9
SUPERIOR,BASICO,False,Andalucía,MARÍTIMO-PESQUERA,Hombres,91.3
MEDIO,SUPERIOR,False,Andalucía,QUÍMICA,Hombres,82.8
SUPERIOR,SUPERIOR,True,Andalucía,SANIDAD,Hombres,96.7
BASICO,BASICO,True,Andalucía,SEGURIDAD Y MEDIO AMBIENTE,Hombres,87.8
SUPERIOR,SUPERIOR,True,Andalucía,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,Hombres,91.8
SUPERIOR,SUPERIOR,True,Andalucía,"TEXTIL, CONFECCIÓN Y PIEL",Hombres,82.1
MEDIO,MEDIO,True,Andalucía,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Hombres,88.7
SUPERIOR,SUPERIOR,True,Aragón,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Hombres,91.0
MEDIO,MEDIO,True,Aragón,ADMINISTRACIÓN Y GESTIÓN,Hombres,76.9
BASICO,BASICO,True,Aragón,AGRARIA,Hombres,79.4
BASICO,MEDIO,False,Aragón,ARTES GRÁFICAS,Hombres,83.0
BASICO,SUPERIOR,False,Aragón,COMERCIO Y MARKETING,Hombres,71.5
SUPERIOR,BASICO,False,Aragón,EDIFICACIÓN Y OBRA CIVIL,Hombres,82.2
MEDIO,BASICO,False,Aragón,ELECTRICIDAD Y ELECTRÓNICA,Hombres,84.1
SUPERIOR,BASICO,False,Aragón,ENERGÍA Y AGUA,Hombres,88.5
BASICO,SUPERIOR,False,Aragón,FABRICACIÓN MECÁNICA,Hombres,81.4
SUPERIOR,MEDIO,False,Aragón,HOSTELERÍA Y TURISMO,Hombres,72.3
MEDIO,BASICO,False,Aragón,IMAGEN PERSONAL,Hombres,81.4
SUPERIOR,SUPERIOR,True,Aragón,IMAGEN Y SONIDO,Hombres,89.1
SUPERIOR,SUPERIOR,True,Aragón,INDUSTRIAS ALIMENTARIAS,Hombres,74.3
MEDIO,MEDIO,True,Aragón,INFORMÁTICA Y COMUNICACIONES,Hombres,81.0
BASICO,SUPERIOR,False,Aragón,INSTALACIÓN Y MANTENIMIENTO,Hombres,87.8
MEDIO,BASICO,False,Aragón,"MADERA, MUEBLE Y CORCHO",Hombres,80.9
MEDIO,SUPERIOR,False,Aragón,QUÍMICA,Hombres,84.2
SUPERIOR,SUPERIOR,True,Aragón,SANIDAD,Hombres,85.1
BASICO,MEDIO,False,Aragón,SEGURIDAD Y MEDIO AMBIENTE,Hombres,95.9
MEDIO,SUPERIOR,False,Aragón,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,Hombres,94.5
SUPERIOR,SUPERIOR,True,Aragón,"TEXTIL, CONFECCIÓN Y PIEL",Hombres,96.6
BASICO,MEDIO,False,Aragón,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Hombres,86.7
MEDIO,SUPERIOR,False,Principado de Asturias,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Hombres,92.3
MEDIO,SUPERIOR,False,Principado de Asturias,ADMINISTRACIÓN Y GESTIÓN,Hombres,78.9
MEDIO,MEDIO,True,Principado de Asturias,AGRARIA,Hombres,82.5
SUPERIOR,BASICO,False,Principado de Asturias,ARTES GRÁFICAS,Hombres,52.2
SUPERIOR,SUPERIOR,True,Principado de Asturias,COMERCIO Y MARKETING,Hombres,80.4
SUPERIOR,SUPERIOR,True,Principado de Asturias,EDIFICACIÓN Y OBRA CIVIL,Hombres,60.4
BASICO,BASICO,True,Principado de Asturias,ELECTRICIDAD Y ELECTRÓNICA,Hombres,74.8
BASICO,MEDIO,False,Principado de Asturias,ENERGÍA Y AGUA,Hombres,76.2
BASICO,BASICO,True,Principado de Asturias,FABRICACIÓN MECÁNICA,Hombres,71.4
BASICO,BASICO,True,Principado de Asturias,HOSTELERÍA Y TURISMO,Hombres,77.6
SUPERIOR,SUPERIOR,True,Principado de Asturias,IMAGEN PERSONAL,Hombres,44.8
SUPERIOR,SUPERIOR,True,Principado de Asturias,IMAGEN Y SONIDO,Hombres,77.5
BASICO,MEDIO,False,Principado de Asturias,INDUSTRIAS ALIMENTARIAS,Hombres,73.6
SUPERIOR,SUPERIOR,True,Principado de Asturias,INFORMÁTICA Y COMUNICACIONES,Hombres,77.7
MEDIO,SUPERIOR,False,Principado de Asturias,INSTALACIÓN Y MANTENIMIENTO,Hombres,77.2
MEDIO,SUPERIOR,False,Principado de Asturias,MARÍTIMO-PESQUERA,Hombres,80.0
BASICO,MEDIO,False,Principado de Asturias,QUÍMICA,Hombres,83.1
SUPERIOR,SUPERIOR,True,Principado de Asturias,SANIDAD,Hombres,94.6
SUPERIOR,MEDIO,False,Principado de Asturias,SEGURIDAD Y MEDIO AMBIENTE,Hombres,84.7
MEDIO,SUPERIOR,False,Principado de Asturias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,Hombres,80.4
BASICO,BASICO,True,Principado de Asturias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Hombres,77.2
BASICO,MEDIO,False,Islas Baleares,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Hombres,94.1
BASICO,MEDIO,False,Islas Baleares,ADMINISTRACIÓN Y GESTIÓN,Hombres,90.1
MEDIO,SUPERIOR,False,Islas Baleares,AGRARIA,Hombres,93.8
MEDIO,BASICO,False,Islas Baleares,ARTES GRÁFICAS,Hombres,100.0
SUPERIOR,SUPERIOR,True,Islas Baleares,COMERCIO Y MARKETING,Hombres,95.5
SUPERIOR,SUPERIOR,True,Islas Baleares,EDIFICACIÓN Y OBRA CIVIL,Hombres,88.3
MEDIO,SUPERIOR,False,Islas Baleares,ELECTRICIDAD Y ELECTRÓNICA,Hombres,85.7
SUPERIOR,SUPERIOR,True,Islas Baleares,ENERGÍA Y AGUA,Hombres,97.1
BASICO,MEDIO,False,Islas Baleares,HOSTELERÍA Y TURISMO,Hombres,91.0
SUPERIOR,SUPERIOR,True,Islas Baleares,IMAGEN PERSONAL,Hombres,50.0
BASICO,BASICO,True,Islas Baleares,IMAGEN Y SONIDO,Hombres,93.8
BASICO,MEDIO,False,Islas Baleares,INDUSTRIAS ALIMENTARIAS,Hombres,79.3
BASICO,MEDIO,False,Islas Baleares,INFORMÁTICA Y COMUNICACIONES,Hombres,90.2
SUPERIOR,SUPERIOR,True,Islas Baleares,INSTALACIÓN Y MANTENIMIENTO,Hombres,91.3
BASICO,SUPERIOR,False,Islas Baleares,"MADERA, MUEBLE Y CORCHO",Hombres,100.0
BASICO,MEDIO,False,Islas Baleares,MARÍTIMO-PESQUERA,Hombres,90.7
SUPERIOR,SUPERIOR,True,Islas Baleares,QUÍMICA,Hombres,92.4
MEDIO,SUPERIOR,False,Islas Baleares,SANIDAD,Hombres,91.8
MEDIO,BASICO,False,Islas Baleares,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,Hombres,94.1
SUPERIOR,MEDIO,False,Islas Baleares,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,Hombres,91.1
SUPERIOR,MEDIO,False,Canarias,ACTIVIDADES FÍSICAS Y DEPORTIVAS,Hombres,88.3
MEDIO,MEDIO,True,Canarias,ADMINISTRACIÓN Y GESTIÓN,Hombres,86.3
SUPERIOR,MEDIO,False,Canarias,AGRARIA,Hombres,78.6
